DEPTH,CALI,GR,ILD,PEF,RHOB,NPHI,SHALE
5401.5,7.7,51,7.5,3.4,2.568,0.183,1
5402,7.7,51,7.5,3.3,2.522,0.175,0
5402.5,7.7,50,7.6,3.2,2.504,0.147,0
5403,7.7,48,7.9,3.3,2.516,0.111,0
5403.5,7.6,41,8.6,3.5,2.557,0.088,0
5404,7.6,35,9.5,3.6,2.578,0.081,0
5404.5,7.6,30,10.7,3.6,2.579,0.083,0
5405,7.6,29,12.4,3.5,2.567,0.087,0
5405.5,7.6,26,13.8,3.6,2.564,0.089,0
5406,7.6,24,14.6,3.7,2.568,0.09,0
5406.5,7.6,22,14.7,3.8,2.573,0.09,0
5407,7.6,22,14.7,3.7,2.571,0.089,0
5407.5,7.7,23,14.7,3.5,2.558,0.087,0
5408,7.7,23,14.7,3.6,2.544,0.088,0
5408.5,7.7,23,14.7,3.5,2.547,0.091,0
5409,7.5,25,14.5,3.6,2.554,0.094,0
5409.5,7.6,27,14.4,3.5,2.568,0.097,0
5410,7.6,29,14.1,3.7,2.565,0.096,0
5410.5,7.5,28,13.8,3.7,2.569,0.094,0
5411,7.6,27,13.4,3.6,2.57,0.095,0
5411.5,7.6,28,12.7,3.4,2.567,0.097,0
5412,7.5,27,11.4,3.4,2.565,0.097,0
5412.5,7.6,31,9.5,3.4,2.592,0.091,0
5413,7.7,35,7.5,3.7,2.611,0.084,0
5413.5,7.6,54,5.9,3.8,2.642,0.1,0
5414,7.7,87,4.6,4.1,2.624,0.127,0
5414.5,7.7,125,3.8,3.9,2.621,0.17,1
5415,7.6,149,3.2,3.7,2.583,0.195,1
5415.5,7.5,136,2.8,3.6,2.517,0.222,1
5416,7.5,114,2.5,3.5,2.457,0.225,0
5416.5,7.7,96,2.4,3.5,2.432,0.217,0
5417,7.7,104,2.3,3.4,2.464,0.195,0
5417.5,7.7,118,2.3,3.4,2.462,0.196,0
5418,7.7,129,2.4,3.3,2.421,0.257,1
5418.5,8.2,137,2.6,3,2.354,0.312,1
5419,8.8,145,3,3.1,2.308,0.317,1
5419.5,8.3,149,3.4,3,2.329,0.271,0
5420,7.7,141,3.8,3.2,2.391,0.215,0
5420.5,7.7,120,4.1,2.9,2.441,0.162,0
5421,7.7,100,4.6,2.9,2.48,0.113,0
5421.5,7.7,77,5.3,2.9,2.494,0.071,0
5422,7.7,62,6.1,2.9,2.514,0.058,0
5422.5,7.6,61,7,2.9,2.526,0.072,0
5423,7.6,77,7.3,3.2,2.514,0.093,0
5423.5,7.6,96,7.1,3.5,2.511,0.115,0
5424,7.7,115,6.6,4.1,2.519,0.122,0
5424.5,7.7,135,6.2,3.5,2.55,0.151,0
5425,7.7,153,5.8,3.1,2.505,0.22,1
5425.5,8.4,151,5.4,2.7,2.327,0.279,0
5426,9,139,5.2,2.6,2.263,0.322,1
5426.5,9.2,128,5.2,2.6,2.299,0.33,1
5427,9.1,122,5.2,2.5,2.46,0.34,1
5427.5,8.1,123,5.4,2.5,2.418,0.364,1
5428,8.4,118,5.8,2.5,2.286,0.371,1
5428.5,8.7,120,6.3,2.6,2.235,0.356,1
5429,8.8,110,7,2.5,2.263,0.3,0
5429.5,7.8,94,7.9,2.5,2.366,0.217,0
5430,7.5,70,9.3,2.4,2.425,0.15,0
5430.5,7.5,51,11.1,2.3,2.439,0.115,0
5431,7.5,37,13.8,2.1,2.428,0.104,0
5431.5,7.4,29,16.5,2,2.426,0.089,0
5432,7.4,21,20,1.9,2.403,0.075,0
5432.5,7.4,19,23.6,1.9,2.383,0.068,0
5433,7.4,19,26,1.9,2.376,0.065,0
5433.5,7.4,20,26.9,1.8,2.385,0.064,0
5434,7.4,19,28.3,1.8,2.386,0.065,0
5434.5,7.4,18,29.2,1.8,2.39,0.064,0
5435,7.4,19,30,1.8,2.394,0.062,0
5435.5,7.4,18,30.2,1.9,2.4,0.058,0
5436,7.4,17,30.1,1.9,2.389,0.055,0
5436.5,7.4,17,30.1,2,2.38,0.058,0
5437,7.4,17,29.9,1.9,2.384,0.058,0
5437.5,7.4,18,29.4,1.9,2.382,0.059,0
5438,7.4,18,29.1,1.9,2.384,0.057,0
5438.5,7.4,19,28.4,1.9,2.377,0.052,0
5439,7.4,18,28.3,1.9,2.365,0.051,0
5439.5,7.4,17,27.8,1.8,2.367,0.049,0
5440,7.4,17,27.9,1.8,2.373,0.049,0
5440.5,7.4,16,27.9,1.8,2.383,0.05,0
5441,7.4,18,28.4,1.8,2.39,0.051,0
5441.5,7.4,17,30.1,1.8,2.393,0.054,0
5442,7.4,21,32.1,1.8,2.392,0.057,0
5442.5,7.4,20,33.8,1.9,2.392,0.06,0
5443,7.4,22,33.9,1.9,2.398,0.058,0
5443.5,7.4,19,32.4,2.2,2.411,0.053,0
5444,7.4,19,31.8,2.6,2.475,0.046,0
5444.5,7.4,17,32.2,2.6,2.514,0.049,0
5445,7.4,18,33.9,2.3,2.494,0.056,0
5445.5,7.4,17,35.7,2,2.422,0.062,0
5446,7.4,17,36.4,2,2.378,0.057,0
5446.5,7.4,15,35,2,2.383,0.046,0
5447,7.4,16,34,2.2,2.412,0.04,0
5447.5,7.4,17,33.8,2.3,2.467,0.043,0
5448,7.4,17,34.7,2.2,2.502,0.051,0
5448.5,7.4,17,35.2,2,2.444,0.058,0
5449,7.4,16,33.9,1.9,2.38,0.061,0
5449.5,7.4,17,31.1,1.9,2.35,0.059,0
5450,7.4,16,28.1,1.9,2.363,0.058,0
5450.5,7.4,18,25.9,1.9,2.366,0.059,0
5451,7.4,20,24.3,1.9,2.352,0.06,0
5451.5,7.4,22,23.5,2,2.351,0.068,0
5452,7.4,23,23.1,2,2.356,0.073,0
5452.5,7.4,21,22.8,2,2.346,0.076,0
5453,7.4,19,22.5,1.9,2.335,0.072,0
5453.5,7.4,19,21.9,1.9,2.321,0.068,0
5454,7.4,19,21.2,1.9,2.332,0.069,0
5454.5,7.4,19,20.6,1.8,2.343,0.067,0
5455,7.4,18,20.1,1.8,2.361,0.064,0
5455.5,7.4,16,19.8,1.8,2.366,0.063,0
5456,7.4,17,19.8,1.9,2.365,0.065,0
5456.5,7.4,19,19.8,1.9,2.366,0.069,0
5457,7.4,27,19.6,1.9,2.357,0.07,0
5457.5,7.4,37,19.2,1.9,2.355,0.087,0
5458,7.4,41,19.5,1.9,2.352,0.115,0
5458.5,7.4,36,19.8,2.1,2.385,0.12,0
5459,7.5,24,19.9,2,2.421,0.104,0
5459.5,7.5,20,19.4,1.9,2.43,0.077,0
5460,7.5,20,18.5,1.8,2.405,0.072,0
5460.5,7.5,19,17.9,1.8,2.374,0.072,0
5461,7.5,18,17.7,1.8,2.367,0.074,0
5461.5,7.5,20,16.5,1.9,2.371,0.078,0
5462,7.5,23,15.2,1.9,2.369,0.081,0
5462.5,7.5,31,14,1.9,2.359,0.089,0
5463,7.5,44,12.9,1.9,2.359,0.109,0
5463.5,7.5,66,12.2,2.1,2.373,0.136,0
5464,7.5,81,11.9,2.2,2.421,0.202,0
5464.5,7.4,80,11.7,2.5,2.453,0.222,1
5465,7.5,63,11.1,2.4,2.477,0.201,1
5465.5,7.5,57,10.5,2.4,2.47,0.138,0
5466,7.5,64,9.8,2.4,2.528,0.121,0
5466.5,7.4,77,9,2.6,2.523,0.16,0
5467,7.5,76,8.4,2.6,2.546,0.191,1
5467.5,7.5,64,8,2.6,2.579,0.203,1
5468,7.5,56,7.7,2.5,2.611,0.174,1
5468.5,7.4,59,7.7,2.6,2.569,0.163,1
5469,7.3,68,7.9,2.8,2.536,0.169,0
5469.5,7.3,70,8.4,3.2,2.534,0.174,0
5470,7.4,57,8.9,3.3,2.572,0.138,0
5470.5,7.5,44,9.7,3.2,2.624,0.082,0
5471,7.5,46,10.7,2.9,2.665,0.049,0
5471.5,7.5,57,12.6,2.8,2.674,0.069,0
5472,7.5,66,16.5,2.8,2.632,0.093,0
5472.5,7.5,65,21.4,3.1,2.589,0.093,0
5473,7.5,65,25.2,3.4,2.601,0.063,0
5473.5,7.5,70,27.2,3.8,2.636,0.042,0
5474,7.5,76,27.2,4,2.654,0.041,0
5474.5,7.5,75,29.7,3.9,2.637,0.041,0
5475,7.5,76,36.1,4,2.632,0.039,0
5475.5,7.5,73,44.3,3.9,2.634,0.033,0
5476,7.5,77,53.6,4,2.636,0.032,0
5476.5,7.5,78,62,4.2,2.63,0.034,0
5477,7.5,82,63.5,4.4,2.624,0.036,0
5477.5,7.5,81,62.9,4.4,2.633,0.034,0
5478,7.5,81,64.6,4.3,2.636,0.03,0
5478.5,7.5,76,65.8,4.1,2.645,0.03,0
5479,7.5,73,61.7,4.2,2.654,0.032,0
5479.5,7.5,70,57.5,4.1,2.667,0.033,0
5480,7.5,72,53.1,3.9,2.665,0.036,0
5480.5,7.5,81,48.6,3.5,2.67,0.036,0
5481,7.5,104,45,3.5,2.659,0.043,0
5481.5,7.5,137,44.3,3.4,2.645,0.034,0
5482,7.5,136,46.5,3.6,2.645,0.022,0
5482.5,7.5,104,47.9,3.6,2.668,0.01,0
5483,7.7,59,49.8,4,2.685,0.006,0
5483.5,7.7,37,51.8,4.5,2.696,0.006,0
5484,7.7,31,56.7,4.6,2.697,0.006,0
5484.5,7.7,28,71.8,4.5,2.691,0.006,0
5485,7.6,28,92.6,4.2,2.68,0.007,0
5485.5,7.6,27,117.2,4.4,2.682,0.008,0
5486,7.7,27,137.8,4.4,2.683,0.007,0
5486.5,7.7,25,143,4.4,2.686,0.008,0
5487,7.7,24,136.8,4.4,2.692,0.007,0
5487.5,7.7,22,130.9,4.5,2.701,0.007,0
5488,7.7,23,132.9,4.9,2.71,0.008,0
5488.5,7.7,23,130.3,4.9,2.712,0.007,0
5489,7.7,23,135,4.8,2.714,0.007,0
5489.5,7.7,21,132.6,4.6,2.699,0.007,0
5490,7.6,19,135.8,5,2.699,0.008,0
5490.5,7.6,19,127.6,5.3,2.7,0.008,0
5491,7.6,19,131.6,5.1,2.694,0.008,0
5491.5,7.7,19,129.2,4.7,2.679,0.008,0
5492,7.7,18,129.6,4.8,2.683,0.008,0
5492.5,7.7,20,125.6,4.7,2.696,0.008,0
5493,7.7,21,126,5.1,2.705,0.008,0
5493.5,7.7,20,122.4,4.9,2.706,0.008,0
5494,7.7,19,121.5,4.8,2.697,0.008,0
5494.5,7.7,18,120.4,4.5,2.692,0.008,0
5495,7.7,18,120.4,4.7,2.693,0.008,0
5495.5,7.7,18,124.4,4.7,2.696,0.008,0
5496,7.7,20,125.8,4.6,2.701,0.008,0
5496.5,7.7,21,128.2,4.4,2.703,0.008,0
5497,7.7,21,132,4.4,2.705,0.007,0
5497.5,7.7,20,136.5,4.4,2.716,0.007,0
5498,7.7,19,140.8,4.6,2.715,0.006,0
5498.5,7.7,20,140.3,4.8,2.714,0.007,0
5499,7.7,20,138.1,4.9,2.709,0.007,0
5499.5,7.7,21,128.7,4.9,2.705,0.007,0
5500,7.7,29,112.5,4.5,2.699,0.008,0
5500.5,7.7,47,85.8,4.1,2.68,0.011,0
5501,7.7,57,66.9,3.8,2.669,0.015,0
5501.5,7.7,57,50.7,3.7,2.656,0.018,0
5502,7.5,49,38,3.8,2.663,0.023,0
5502.5,7.5,46,30.1,3.9,2.668,0.04,0
5503,7.5,47,24,4,2.683,0.064,0
5503.5,7.5,49,19.5,4,2.665,0.086,0
5504,7.5,51,16.6,4.1,2.662,0.095,0
5504.5,7.5,53,14.8,4.2,2.671,0.103,0
5505,7.5,56,13,4.2,2.672,0.112,0
5505.5,7.5,58,12,4,2.661,0.12,0
5506,7.5,58,11.4,3.8,2.654,0.117,0
5506.5,7.5,53,11.2,3.8,2.657,0.115,0
5507,7.5,55,11.2,4,2.658,0.116,0
5507.5,7.6,53,12.2,3.8,2.655,0.102,0
5508,7.6,47,13.7,4.1,2.641,0.074,0
5508.5,7.5,39,15.7,4,2.669,0.04,0
5509,7.5,33,18.4,4.3,2.676,0.025,0
5509.5,7.5,31,21.5,4,2.682,0.023,0
5510,7.5,30,26.3,4,2.678,0.022,0
5510.5,7.5,31,34.5,4,2.676,0.022,0
5511,7.5,32,43.3,4.2,2.671,0.021,0
5511.5,7.5,33,48.7,4.4,2.672,0.021,0
5512,7.5,35,53.5,4.3,2.671,0.02,0
5512.5,7.5,39,54.4,4.1,2.675,0.017,0
5513,7.5,41,51.4,4,2.682,0.017,0
5513.5,7.5,43,50.6,4.3,2.678,0.018,0
5514,7.5,42,49.6,4.3,2.685,0.021,0
5514.5,7.5,41,50,4.3,2.665,0.02,0
5515,7.5,39,52,3.9,2.678,0.018,0
5515.5,7.5,38,56.3,4.1,2.666,0.018,0
5516,7.5,38,60.1,4.2,2.67,0.015,0
5516.5,7.5,36,66.5,4.5,2.666,0.012,0
5517,7.5,33,74.7,4.6,2.681,0.01,0
5517.5,7.5,28,84.1,4.7,2.687,0.008,0
5518,7.5,26,100.5,4.8,2.696,0.007,0
5518.5,7.5,23,121.9,5,2.712,0.006,0
5519,7.5,23,151.4,5.1,2.708,0.007,0
5519.5,7.5,24,165.1,5.1,2.704,0.007,0
5520,7.5,26,165.4,4.8,2.707,0.008,0
5520.5,7.5,27,155.3,4.8,2.706,0.008,0
5521,7.5,26,137.2,4.6,2.703,0.008,0
5521.5,7.5,27,124.2,4.3,2.682,0.008,0
5522,7.5,27,117.1,4.2,2.681,0.008,0
5522.5,7.5,29,112.4,4.1,2.676,0.008,0
5523,7.5,27,108.8,4,2.668,0.008,0
5523.5,7.5,24,107.7,3.9,2.675,0.008,0
5524,7.5,22,107.8,4,2.687,0.009,0
5524.5,7.5,22,107.8,4.3,2.697,0.009,0
5525,7.5,23,111.8,4.5,2.699,0.009,0
5525.5,7.5,22,118.9,4.7,2.697,0.008,0
5526,7.5,20,123.5,4.5,2.682,0.008,0
5526.5,7.5,18,125,4.2,2.676,0.008,0
5527,7.5,21,122.3,4.1,2.673,0.008,0
5527.5,7.5,24,125.9,4.2,2.686,0.008,0
5528,7.5,26,125,4.2,2.68,0.008,0
5528.5,7.5,25,122.6,4.1,2.676,0.008,0
5529,7.6,24,120.1,4.1,2.673,0.008,0
5529.5,7.5,25,120,4.1,2.687,0.008,0
5530,7.6,23,119.6,4.1,2.698,0.009,0
5530.5,7.6,24,122.4,4.2,2.701,0.009,0
5531,7.7,23,126.7,4.1,2.695,0.008,0
5531.5,7.7,23,124.5,4.4,2.678,0.007,0
5532,7.7,22,124.2,4.2,2.669,0.007,0
5532.5,7.7,26,116.6,4.4,2.667,0.008,0
5533,7.6,29,116.6,4.3,2.685,0.011,0
5533.5,7.7,33,115.2,4.1,2.679,0.012,0
5534,7.6,33,116.5,4.1,2.682,0.012,0
5534.5,7.6,30,113.8,4.3,2.69,0.011,0
5535,7.6,28,105.4,4.7,2.696,0.011,0
5535.5,7.6,28,101.1,4.6,2.7,0.012,0
5536,7.5,34,104.4,4.4,2.686,0.013,0
5536.5,7.5,33,111.5,4.2,2.672,0.015,0
5537,7.5,31,114,4.2,2.672,0.014,0
5537.5,7.5,28,122.2,4.3,2.678,0.014,0
5538,7.5,27,127,4.6,2.678,0.013,0
5538.5,7.5,26,123.9,4.9,2.681,0.012,0
5539,7.5,27,126.1,4.6,2.679,0.011,0
5539.5,7.5,28,124.5,4.5,2.694,0.011,0
5540,7.5,28,128.1,4.3,2.683,0.011,0
5540.5,7.5,27,126.4,4.4,2.675,0.012,0
5541,7.5,25,128.3,4.5,2.67,0.012,0
5541.5,7.5,24,125.7,4.5,2.669,0.012,0
5542,7.5,23,125.8,4.3,2.667,0.012,0
5542.5,7.5,24,125.2,4.5,2.674,0.012,0
5543,7.5,23,124.7,4.5,2.679,0.011,0
5543.5,7.5,22,126.1,4.7,2.688,0.011,0
5544,7.5,22,128.9,4.4,2.686,0.012,0
5544.5,7.5,22,128.5,4.5,2.689,0.011,0
5545,7.5,24,127,4.4,2.693,0.011,0
5545.5,7.5,25,121.8,4.4,2.697,0.011,0
5546,7.5,27,121.9,4.3,2.695,0.011,0
5546.5,7.5,26,115.8,4.6,2.691,0.011,0
5547,7.5,25,114.5,4.6,2.694,0.011,0
5547.5,7.5,25,112.9,4.8,2.69,0.011,0
5548,7.5,24,110.5,4.5,2.685,0.011,0
5548.5,7.5,22,114.7,4.3,2.668,0.011,0
5549,7.5,20,122.1,4.2,2.673,0.011,0
5549.5,7.5,21,122.3,4.4,2.683,0.01,0
5550,7.5,20,125.5,4.5,2.687,0.01,0
5550.5,7.5,21,125.3,4.6,2.686,0.011,0
5551,7.5,21,130.2,4.5,2.674,0.011,0
5551.5,7.5,22,128.9,4.5,2.688,0.011,0
5552,7.5,21,138.5,4.4,2.697,0.011,0
5552.5,7.5,21,138.7,4.5,2.705,0.011,0
5553,7.5,23,145.2,4.5,2.697,0.011,0
5553.5,7.5,25,145.4,4.7,2.694,0.01,0
5554,7.6,24,152.3,4.7,2.698,0.01,0
5554.5,7.6,25,152.7,4.5,2.693,0.009,0
5555,7.5,24,141.9,4.4,2.69,0.008,0
5555.5,7.5,22,135.6,4.4,2.697,0.008,0
5556,7.5,21,130.3,4.3,2.708,0.009,0
5556.5,7.5,22,125.1,4.2,2.7,0.01,0
5557,7.6,26,126.7,4.2,2.695,0.011,0
5557.5,7.5,25,129.7,4.3,2.688,0.01,0
5558,7.5,24,122.9,4.4,2.685,0.009,0
5558.5,7.6,23,117.8,4.4,2.687,0.008,0
5559,7.6,24,115,4.5,2.699,0.008,0
5559.5,7.6,26,115,4.3,2.705,0.008,0
5560,7.6,27,113.9,4.3,2.691,0.008,0
5560.5,7.6,31,113.7,4.2,2.677,0.009,0
5561,7.6,33,111.1,4.2,2.672,0.01,0
5561.5,7.6,35,105.3,4,2.681,0.01,0
5562,7.6,34,104.4,4.1,2.682,0.01,0
5562.5,7.6,34,103.5,4,2.692,0.009,0
5563,7.6,30,103.7,4.2,2.694,0.008,0
5563.5,7.6,28,104.5,4.1,2.696,0.008,0
5564,7.6,26,105.4,4.2,2.694,0.008,0
5564.5,7.6,27,111.4,4.2,2.697,0.008,0
5565,7.6,28,116.9,4.2,2.685,0.009,0
5565.5,7.6,27,118.5,4.3,2.689,0.009,0
5566,7.6,27,114.5,4.5,2.693,0.009,0
5566.5,7.6,27,109.2,4.7,2.701,0.008,0
5567,7.6,29,109.1,4.5,2.688,0.008,0
5567.5,7.6,28,110.1,4.4,2.685,0.009,0
5568,7.6,27,112.8,4.1,2.68,0.009,0
5568.5,7.6,23,110.2,4.4,2.677,0.009,0
5569,7.6,23,107.8,4.4,2.682,0.009,0
5569.5,7.5,22,107.9,4.6,2.68,0.009,0
5570,7.5,22,113,4.6,2.689,0.009,0
5570.5,7.5,22,118.8,4.7,2.694,0.009,0
5571,7.5,25,123.5,4.8,2.704,0.008,0
5571.5,7.5,29,123.7,4.2,2.709,0.008,0
5572,7.5,35,124.4,4,2.693,0.009,0
5572.5,7.5,35,121.9,3.9,2.682,0.009,0
5573,7.5,36,127.1,4.7,2.684,0.01,0
5573.5,7.5,36,132.4,4.8,2.692,0.01,0
5574,7.5,37,142.1,4.6,2.689,0.009,0
5574.5,7.5,34,149.1,4.5,2.693,0.007,0
5575,7.5,31,155.9,4.3,2.682,0.006,0
5575.5,7.5,28,155.9,4.6,2.703,0.007,0
5576,7.5,31,157,4.4,2.71,0.009,0
5576.5,7.5,34,152.9,4.5,2.717,0.011,0
5577,7.5,41,145.9,4.4,2.703,0.013,0
5577.5,7.5,40,134.8,4.3,2.695,0.014,0
5578,7.5,39,126.1,4.4,2.696,0.015,0
5578.5,7.5,35,115.7,4.5,2.7,0.018,0
5579,7.5,34,111.6,4.7,2.688,0.018,0
5579.5,7.5,35,111.7,4.7,2.693,0.017,0
5580,7.5,34,111.2,4.5,2.698,0.015,0
5580.5,7.5,35,110.2,4.6,2.709,0.012,0
5581,7.5,35,103.3,4.5,2.712,0.012,0
5581.5,7.5,43,88.3,4.9,2.705,0.017,0
5582,7.4,46,75,4.9,2.668,0.034,0
5582.5,7.4,46,60.3,4.9,2.626,0.065,0
5583,7.5,35,49.3,4.9,2.577,0.092,0
5583.5,7.5,31,39.5,4.5,2.541,0.108,0
5584,7.5,30,31.7,4.5,2.505,0.113,0
5584.5,7.5,29,25.9,4.4,2.504,0.119,0
5585,7.5,25,21.8,4.8,2.503,0.126,0
5585.5,7.4,20,19,4.7,2.491,0.128,0
5586,7.4,21,17.2,4.6,2.471,0.129,0
5586.5,7.4,20,16,4.4,2.461,0.125,0
5587,7.4,22,15.2,4.5,2.446,0.116,0
5587.5,7.4,21,14.6,4.7,2.45,0.097,0
5588,7.5,20,14,4.7,2.465,0.083,0
5588.5,7.5,21,13.9,4.9,2.5,0.082,0
5589,7.5,23,14.3,5,2.527,0.086,0
5589.5,7.5,26,15.4,4.9,2.534,0.079,0
5590,7.5,27,17.2,4.8,2.524,0.059,0
5590.5,7.5,33,19.4,4.6,2.542,0.031,0
5591,7.5,43,22.2,4.7,2.59,0.016,0
5591.5,7.5,58,26,4.3,2.65,0.011,0
5592,7.5,61,32.5,4.3,2.676,0.01,0
5592.5,7.5,59,42.5,4.7,2.691,0.01,0
5593,7.5,49,58.4,4.8,2.69,0.01,0
5593.5,7.5,52,73.5,5.1,2.688,0.011,0
5594,7.5,54,85,4.5,2.673,0.014,0
5594.5,7.5,60,84.9,4.6,2.667,0.017,0
5595,7.5,62,80.8,4.3,2.659,0.021,0
5595.5,7.5,63,77,4.2,2.638,0.022,0
5596,7.5,59,72.3,4.2,2.61,0.022,0
5596.5,7.5,51,68.7,4.4,2.607,0.021,0
5597,7.5,43,65.5,4.6,2.634,0.019,0
5597.5,7.5,39,64.2,4.7,2.667,0.018,0
5598,7.5,35,64.6,4.7,2.671,0.017,0
5598.5,7.5,34,68.5,4.9,2.673,0.017,0
5599,7.5,32,71.8,4.8,2.672,0.015,0
5599.5,7.5,31,73.3,4.9,2.676,0.015,0
5600,7.5,33,74.6,5,2.673,0.015,0
